rsu_cache_capacity,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
50,57.11766223174066,61.528429852778295,61.844275746143516,61.34332285618553
100,53.11649720723907,56.96129370761387,58.22343251412054,56.69572220321057
150,48.50852424405432,54.295978643989486,54.02988621250798,51.81100679909338
200,45.93429974055492,51.26408355192569,51.04245694433167,48.94600145285502
250,43.80611520836372,50.64986359294867,48.392495031679545,46.66662127254975
300,41.794871664942306,47.03688883016958,47.07527011486403,44.71092971353214
350,40.37202009218499,45.31568098238051,44.453726813291745,42.87242813997647
400,38.7887622915241,42.34929639660111,43.16434081618208,40.914024554375196
