rsu_cache_capacity,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
50,0.20561174916579658,0.1050090508057034,0.13568265903004526,0.22764574495522943
100,0.28454984285006163,0.18385968594819882,0.2212288962883707,0.33906093426676864
150,0.37828981673196155,0.26128663636533406,0.31153663899727435,0.4478466176920312
200,0.42686048378783975,0.28614385841770934,0.3681495461636043,0.5162839745932425
250,0.4718066257735745,0.3237096952041229,0.4066070504792275,0.5679892031454619
300,0.5110077234895762,0.3695057246388733,0.4381459910464769,0.6128831083001789
350,0.5396553650427244,0.4031807257414453,0.4903950030720088,0.6552886490670172
400,0.5697213655157429,0.43740007646671014,0.5000802307905654,0.7009634306714166
