round,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
0,0.4498714652956298,0.36032756506025904,0.45614035087719296,0.49734513274336284
1,0.6064516129032258,0.4672357456404009,0.4935897435897436,0.5119402985074627
2,0.5087040618955513,0.6130147963338358,0.4317718940936864,0.5058236272878536
3,0.5093457943925234,0.4810825539597636,0.48040638606676345,0.5341074020319303
4,0.5606060606060606,0.46029329953301534,0.46598639455782315,0.516320474777448
5,0.6026490066225165,0.4195174261288406,0.47019867549668876,0.5381026438569206
6,0.5607287449392713,0.37262771106982645,0.5055292259083728,0.6195028680688337
7,0.5903614457831325,0.38830679372601234,0.4623287671232877,0.586890243902439
8,0.6140888208269525,0.46948106496603215,0.4823348694316436,0.5862573099415205
9,0.6503164556962026,0.40579032466383164,0.47128129602356406,0.6244274809160305
