rsu_cache_capacity,FD-EMC(qwen3.7-flash),Direct LLM,Open-loop FD-EMC,Static mRSU
50,0.2732592159157402,0.14841303907247197,0.18714517437145176,0.24339622641509434
100,0.37716397588017897,0.27121386843455214,0.28989412897016364,0.36242138364779874
150,0.5008742957062366,0.3596432260984941,0.39801088384312255,0.47861635220125787
200,0.5673883362590209,0.4293153096697972,0.47256270035828774,0.5517295597484276
250,0.626339372686538,0.4458498557089929,0.5256361564755032,0.6069182389937107
300,0.6783557373855446,0.5509587591897661,0.5746772017729813,0.654874213836478
350,0.7163452172218975,0.5951575903666951,0.6323167266527752,0.7001572327044026
400,0.7562828755113968,0.6804622327582073,0.6733280569845667,0.7488993710691824
