seed,average_chr,average_local_rsu_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_position,motion_policy,path_plan_status,path_plan_solver,decision_request_count,decision_request_source,evaluation_request_count,evaluation_request_source,uses_miss_feedback,cache_update_count,direct_llm_fallback,direct_cache_rank_limit,direct_llm_mrsu_rank_length,direct_llm_frsu_rank_length
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,0,0,9,10,0.048600883652430045,0.10679611650485436,64.55942545392146,62.27470861639307,rsu_covered_requests_only,309,370,34.392948733834196,29.831918421381918,68.31501605020752,24.698004763710063,28.93067317907767,32.24621535133157,221.06254045537187,191.84515338431575,99.72429907077722,227.559864593657,24,9,276,679,33,24,9,646,370,276,250.0,15.0,5,17,750.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,679,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,1,10,19,10,0.09701492537313433,0.19938650306748465,63.97324651362077,62.27470861639307,rsu_covered_requests_only,326,344,32.38834088042424,34.6347002714549,71.4949495424198,26.408617438725493,24.514469930042218,25.591139579331866,256.61631722100725,147.24649380478218,198.00790737111842,276.07448572446003,25,40,261,670,65,25,40,605,344,261,360.0,11.0,9,13,0.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,670,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,2,20,29,10,0.06962962962962962,0.22274881516587677,57.22209621078608,62.27470861639307,rsu_covered_requests_only,211,464,31.850727207817783,32.560450517891574,64.4325731424841,26.923513717284532,26.302604336792893,33.931820881984486,159.44369573730498,138.95728716572646,154.42175131662762,163.99466344920484,33,14,164,675,47,33,14,628,464,164,510.0,15.0,11,13,100.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,675,current_service_window_true_requests,True,0,False,400,400,399
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,3,30,39,10,0.12336719883889695,0.1812366737739872,54.26381984051822,62.27470861639307,rsu_covered_requests_only,469,220,30.730614673718165,28.572339544823908,59.630367087359474,28.66936501289155,30.565947950603267,42.69840881169156,97.37756545399384,124.31325889760124,82.99337833854456,94.42814543562655,57,28,384,689,85,57,28,604,220,384,620.0,11.0,18,33,250.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,689,current_service_window_true_requests,True,0,False,400,200,200
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,4,40,49,10,0.17210682492581603,0.20825852782764812,53.68306943619239,62.27470861639307,rsu_covered_requests_only,557,117,29.54914072275682,29.819083514661283,60.013471680621635,30.193073998229977,29.25289488114338,43.37297860391158,103.46189487781488,105.59827632937233,103.90077154990912,103.0115714996375,87,29,441,674,116,87,29,558,117,441,700.0,8.0,30,40,450.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,674,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,5,50,59,10,0.19316493313521546,0.2066772655007949,59.58360063773149,62.27470861639307,rsu_covered_requests_only,629,44,29.38466697384821,28.171716626049545,67.56044260557873,29.685277867292378,31.435937681445406,32.16726661444033,188.21292790816005,94.82108406122326,82.54661606194277,213.65038434116488,85,45,499,673,130,85,45,543,44,499,820.0,12.0,32,42,600.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,673,current_service_window_true_requests,True,0,False,400,400,0
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,6,60,69,10,0.1924198250728863,0.1924198250728863,63.76066944021414,62.27470861639307,rsu_covered_requests_only,686,0,29.30113689889116,30.952680236420097,71.91758372790207,30.36006732771506,28.572710871278744,28.084805131814786,248.32895426406427,101.94452182528543,131.9636543402831,282.2322046190261,114,18,554,686,132,114,18,554,0,554,900.0,8.0,36,29,650.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,686,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,7,70,79,10,0.18221574344023322,0.1902587519025875,68.78683618412758,62.27470861639307,rsu_covered_requests_only,657,29,29.60220303488393,31.9382870774355,77.96301391976216,29.582892100657922,26.84684350290708,22.610130004385017,320.42840047324677,101.40387668596327,134.4306735354506,371.4563664421641,118,7,532,686,125,118,7,561,29,532,940.0,4.0,41,16,750.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,686,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,8,80,89,10,0.1608187134502924,0.16897081413210446,67.18966398214847,62.27470861639307,rsu_covered_requests_only,651,33,31.40731376912182,33.07892091205101,74.44664897396984,27.956219223406983,25.947281672265238,25.730231318283494,289.9072954719808,135.86181112159358,161.62425280025076,320.9432079090799,104,6,541,684,110,104,6,574,33,541,950.0,1.0,40,12,50.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,684,current_service_window_true_requests,True,0,False,400,400,400
42,0.13630500177247198,0.17916505604947816,direct_llm,Direct LLM,50,50,50,9,90,99,10,0.12371134020618557,0.12371134020618557,64.5490595116452,62.27470861639307,rsu_covered_requests_only,679,0,33.330932324627945,33.17592793075179,68.95788759580101,25.840345229312504,25.72743798488037,29.69711702567976,224.89796217729253,168.63296953756438,159.31690441769388,232.93519876965618,78,6,595,679,84,78,6,595,0,595,955.0,0.5,30,21,100.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,679,current_service_window_true_requests,True,0,False,400,400,400
42,0.1986135036881262,0.33210332103321033,direct_llm,Direct LLM,100,100,100,0,0,9,10,0.08247422680412371,0.18122977346278318,61.49459088108741,54.96185676703137,rsu_covered_requests_only,309,370,34.3968285728159,29.921783469547318,67.81089720963303,24.69497636004075,28.8281133941458,32.73078830111478,209.38086933515714,191.9408945303324,101.02224605180375,219.70962135762238,38,18,253,679,56,38,18,623,370,253,250.0,15.0,5,17,750.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,679,current_service_window_true_requests,True,0,False,400,400,400
42,0.1986135036881262,0.33210332103321033,direct_llm,Direct LLM,100,100,100,1,10,19,10,0.09402985074626866,0.19325153374233128,63.845057591122014,54.96185676703137,rsu_covered_requests_only,326,344,32.5123857973042,34.67605606858128,71.20251864864116,26.30062518979249,24.48300744041145,25.84730245128737,250.54241165207577,149.94165834418513,199.05966299921687,271.2790024300474,45,18,263,670,63,45,18,607,344,263,360.0,11.0,9,13,0.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,670,current_service_window_true_requests,True,0,False,400,400,400
42,0.1986135036881262,0.33210332103321033,direct_llm,Direct LLM,100,100,100,2,20,29,10,0.16444444444444445,0.40217391304347827,51.50208549346681,54.96185676703137,rsu_covered_requests_only,276,399,30.079583514051542,32.023336930594596,65.6072984079212,28.941602088408704,26.799932977217313,32.282618064993585,155.7787729477097,109.69589441020355,141.94878282778868,181.69770881926107,85,26,165,675,111,85,26,564,399,165,450.0,9.0,17,13,100.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,675,current_service_window_true_requests,True,0,False,400,400,400
42,0.1986135036881262,0.33210332103321033,direct_llm,Direct LLM,100,100,100,3,30,39,10,0.28737300435413643,0.42217484008528783,46.58307021609125,54.96185676703137,rsu_covered_requests_only,469,220,29.34218555471468,28.42898975621756,59.35158736987691,29.83352358263046,30.804475651023203,43.384039033735235,92.00509239050021,97.42716823459308,81.90897077532252,90.96397450597034,147,51,271,689,198,147,51,491,220,271,520.0,7.0,31,33,250.0,direct_llm_motion,direct_llm_no_qp_planner,none,680,strict_direct_predicted_history_feedback_signal,689,current_service_window_true_requests,True,0,False,400,400,400
