rsu_cache_capacity,Direct LLM
50,0.17916505604947816
100,0.33210332103321033
150,0.3589004229142637
200,0.39469517022961204
250,0.4360648356596128
300,0.5519672503979987
350,0.5506958250497018
400,0.6650256849315068
