method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,local_rsu_achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,latency_request_count_mean,excluded_not_covered_request_count_mean,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,average_service_distance_m_mean,mrsu_average_distance_m_mean,frsu_average_distance_m_mean,mbs_average_distance_m_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,cache_update_count_mean,direct_llm_fallback_count_mean
direct_llm,Direct LLM,50,50,50,1,42,0.13630500177247198,0.17916505604947816,0.0,0.13630500177247198,0.13630500177247198,62.27470861639307,0.0,5174.0,1621.0,30.628818178536605,30.794421327267422,69.17423501146001,28.690297980173934,28.417198141137728,31.056418897873304,218.32289078491314,121.48147222542995,125.11525560549245,239.28780031207782,725.0,202.0,5868.0,1621.0,4247.0,0.0,0.0
direct_llm,Direct LLM,100,100,100,1,42,0.1986135036881262,0.33210332103321033,0.0,0.1986135036881262,0.1986135036881262,54.96185676703137,0.0,4065.0,2730.0,30.80487879785874,31.030907838994388,66.94672338879795,28.385753276263337,28.15253596764233,33.40015677296451,179.44034532929396,124.32287530643714,128.40947045484012,206.36064525486398,1027.0,323.0,5445.0,2730.0,2715.0,0.0,0.0
direct_llm,Direct LLM,150,150,150,1,42,0.2744911473280817,0.3589004229142637,0.0,0.2744911473280817,0.2744911473280817,55.075017682703475,0.0,5202.0,1593.0,30.344833784002553,31.286715544871512,68.79464035154022,29.186743405946533,27.882653754599804,31.414624288931158,193.833768600674,119.09050825187276,132.37116202471134,233.91641270970462,1425.0,442.0,4928.0,1593.0,3335.0,0.0,0.0
direct_llm,Direct LLM,200,200,200,1,42,0.29283283295083856,0.39469517022961204,0.0,0.29283283295083856,0.29283283295083856,52.68830060858539,0.0,5052.0,1743.0,28.201065533610375,31.20448254699841,68.05928576632694,31.520347902785787,27.988448068487255,32.40157730635453,173.77341015418102,84.82827289695635,131.20109618643326,222.56618319348564,1387.0,607.0,4801.0,1743.0,3058.0,0.0,0.0
direct_llm,Direct LLM,250,250,250,1,42,0.28490035288016147,0.4360648356596128,0.0,0.28490035288016147,0.28490035288016147,51.36880238152247,0.0,4442.0,2353.0,31.24087152097372,31.01136641166537,67.00792264759663,28.00501297933751,28.13700045995321,33.256828235863594,173.41947619443297,132.1380178189111,127.25204009481324,206.93990996974085,1117.0,820.0,4858.0,2353.0,2505.0,0.0,0.0
direct_llm,Direct LLM,300,300,300,1,42,0.3567345710074191,0.5519672503979987,0.0,0.3567345710074191,0.3567345710074191,47.69986211298873,0.0,4397.0,2398.0,30.81731610343796,31.227504029421244,68.36680628563155,28.496037037560107,27.89817678807804,32.18829782703215,171.8535599782749,125.01931417213298,131.02103310714315,227.62088219487893,1793.0,634.0,4368.0,2398.0,1970.0,0.0,0.0
direct_llm,Direct LLM,350,350,350,1,42,0.40689046663262307,0.5506958250497018,0.0,0.40689046663262307,0.40689046663262307,47.27568329137448,0.0,5030.0,1765.0,30.39345081648456,30.5527582253607,67.88381047999896,29.052680420684084,28.633246800693176,32.62482200045556,164.1635805792996,118.40926917718275,119.20393485658991,219.82490141604674,1581.0,1189.0,4025.0,1765.0,2260.0,0.0,0.0
direct_llm,Direct LLM,400,400,400,1,42,0.4563386663759531,0.6650256849315068,0.0,0.4563386663759531,0.4563386663759531,43.27488801131069,0.0,4672.0,2123.0,30.335562344170125,30.17457518928051,69.06675825953421,29.17029089175823,29.016642115212484,31.275052633221915,157.28241816168241,118.63674084261842,112.09412175886149,238.20730736903536,2102.0,1005.0,3688.0,2123.0,1565.0,0.0,0.0
