rsu_cache_capacity,Direct LLM
50,0.14841303907247197
100,0.27121386843455214
150,0.3596432260984941
200,0.4293153096697972
250,0.4458498557089929
300,0.5509587591897661
350,0.5951575903666951
400,0.6804622327582073
