rsu_cache_capacity,Open-loop LLM
50,0.18714517437145176
100,0.28989412897016364
150,0.39801088384312255
200,0.47256270035828774
250,0.5256361564755032
300,0.5746772017729813
350,0.6323167266527752
400,0.6733280569845667
