rsu_cache_capacity,Open-loop LLM
50,61.844275746143516
100,58.22343251412054
150,54.02988621250798
200,51.04245694433167
250,48.392495031679545
300,47.07527011486403
350,44.453726813291745
400,43.16434081618208
