method,method_label,model_name,agent_description,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,local_rsu_achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,latency_request_count_mean,excluded_not_covered_request_count_mean,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,average_service_distance_m_mean,mrsu_average_distance_m_mean,frsu_average_distance_m_mean,mbs_average_distance_m_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,cache_update_count_mean
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,1,1050,0.20950606442485337,0.261532806469399,0.0,0.20950606442485337,0.20950606442485337,57.48395591973552,0.0,5441.0,1358.0,29.160011706397984,31.2699414653293,67.15167648280143,30.551637782697867,28.19412395664718,33.57994775999747,185.70141981015274,100.84951051970313,135.95354544208436,209.70646579174104,731.0,692.0,5376.0,1358.0,4018.0,9.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),100,100,100,1,1050,0.30195584628758276,0.3803078064157241,0.0,0.30195584628758276,0.30195584628758276,52.77519542213293,0.0,5393.0,1406.0,28.84092140632301,30.781622432786172,67.0282385808938,30.939610778210724,28.63614255012567,33.78781693850681,169.74085458581902,96.5931854440844,126.3999801919406,207.9427616321402,1301.0,750.0,4748.0,1406.0,3342.0,10.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),150,150,150,1,1050,0.3968626210540832,0.48717948717948717,0.0,0.3968626210540832,0.3968626210540832,49.098636194472235,0.0,5538.0,1261.0,29.36455228870597,31.414611489848827,67.19995851585763,30.26118581553441,27.8159315991129,33.50288695104682,163.5836347853385,104.31763014270061,135.02137962402873,210.21033363746815,1803.0,895.0,4101.0,1261.0,2840.0,9.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),200,200,200,1,1050,0.4394046265883237,0.5507005899705014,0.0,0.4394046265883237,0.4394046265883237,46.28155279285354,0.0,5424.0,1375.0,28.5325088044375,31.083808124785907,66.94231873607661,31.26293823961102,28.40867953263546,33.76270238472452,151.2316120400822,91.63704252114682,132.8738637728863,206.5933276514866,1942.0,1045.0,3812.0,1375.0,2437.0,8.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),250,250,250,1,1050,0.500107157190665,0.612281649558797,0.0,0.500107157190665,0.500107157190665,44.017143468306955,0.0,5553.0,1246.0,28.866793594231257,30.74800327479734,67.04247723555002,30.840735529001126,28.771159326212036,33.69623924618059,145.3349106609922,96.4323398678679,126.98199074209691,207.9464296095137,2370.0,1030.0,3399.0,1246.0,2153.0,9.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),300,300,300,1,1050,0.5340411625966718,0.6618665694495078,0.0,0.5340411625966718,0.5340411625966718,42.33842217678932,0.0,5486.0,1313.0,28.9584843058462,31.128197528982426,67.19390014002168,30.77505243480843,28.172559336350595,33.35283475216385,142.79598102904436,98.1519194693948,130.98709752544715,209.9860885013527,2490.0,1141.0,3168.0,1313.0,1855.0,8.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),350,350,350,1,1050,0.5611027548662879,0.6962395034684191,0.0,0.5611027548662879,0.5611027548662879,40.851197329697264,0.0,5478.0,1321.0,28.391963357738803,31.168552612920767,67.13092932232118,31.312502877399005,28.330987413446962,33.32073228661439,136.51290147112417,88.32135423948988,134.7613251138065,208.87588278002502,2449.0,1365.0,2985.0,1321.0,1664.0,8.0
da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),400,400,400,1,1050,0.6001268997193223,0.745750319868397,0.0,0.6001268997193223,0.6001268997193223,39.10616259203621,0.0,5471.0,1328.0,28.878201439734955,31.206462815799163,67.05246366533486,30.903724972045712,28.03994918109492,33.3612087406421,133.20468844195545,97.69446666879135,131.65680278265205,207.40304819954167,2853.0,1227.0,2719.0,1328.0,1391.0,6.0
