seed,average_chr,average_local_rsu_chr,method,method_label,model_name,agent_description,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_position,path_plan_status,path_plan_solver,decision_request_count,decision_request_source,evaluation_request_count,evaluation_request_source,cache_update_count
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,0,0,9,10,0.1142433234421365,0.19794344473007713,62.694403983859424,57.43079748594134,rsu_covered_requests_only,389,285,26.170677753588627,33.74474543137483,70.64013456689871,34.6176502752135,25.27258468711216,27.562104058016,235.35807944241753,69.16785737103508,176.45937603113444,261.2421187964306,33,44,312,674,77,33,44,597,285,312,359.34346924671735,30.0,16,25,750.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,674,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,1,10,19,10,0.061764705882352944,0.2709677419354839,47.70752705116311,57.43079748594134,rsu_covered_requests_only,155,525,32.687062178057566,22.80962416619721,54.25187521754273,26.14578122658843,39.1823573652212,58.48368535970872,57.27767552865333,156.1732884480596,22.396007498273978,33.54258126168501,31,11,113,680,42,31,11,638,525,113,659.3434692467174,30.0,12,12,900.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,680,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,2,20,29,10,0.13100436681222707,0.1761252446183953,59.876859604616165,57.43079748594134,rsu_covered_requests_only,511,176,33.74776428162612,31.62735325604268,65.72959205930744,25.279693829341625,27.177396877344478,33.01925525888698,176.91772234588558,174.96981581292468,131.02299251163234,182.86663736473352,37,53,421,687,90,37,53,597,176,421,959.3434692467174,30.0,20,29,100.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,687,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,3,30,39,10,0.21301775147928995,0.22429906542056074,54.09047368943444,57.43079748594134,rsu_covered_requests_only,642,34,29.36073235304531,28.57742627072107,61.37336618613177,30.167460435656704,32.52202447621326,45.4516140675532,125.36742034776559,98.97603517916068,107.0946003851094,131.62926771117807,60,84,498,676,144,60,84,532,34,498,256.13190903998384,26.78843979326634,21,43,250.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,676,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,4,40,49,10,0.2143906020558003,0.2765151515151515,53.151701000461635,57.43079748594134,rsu_covered_requests_only,528,153,28.258104180115474,31.293235242422778,62.14955863585578,31.57448079218963,28.907483038199597,43.812991176124065,134.47518493610397,87.28104887108923,145.1395654067024,142.6676987860445,81,65,382,681,146,81,65,535,153,382,522.1904323091601,16.42340930767051,30,38,450.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,681,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,5,50,59,10,0.16812865497076024,0.25386313465783666,59.28433385422545,57.43079748594134,rsu_covered_requests_only,453,231,28.38432407566081,33.4956194213904,69.29861899660965,30.98972580508463,25.46848346552439,29.69386030263334,208.2028154677408,83.53123084850932,169.7066267314026,242.20708815139804,82,33,338,684,115,82,33,569,231,338,733.1105085089428,9.529382131557458,30,31,650.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,684,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,6,60,69,10,0.23582089552238805,0.31983805668016196,61.72003329329862,57.43079748594134,rsu_covered_requests_only,494,176,27.663374137773012,31.282714627002676,77.19617949005922,32.43170788255635,28.71261700120465,24.692451960092853,280.5492454200608,78.08903780574803,144.81948919940106,365.8236211146405,108,50,336,670,158,108,50,512,176,336,919.1520268669791,9.529382131557458,30,17,850.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,670,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,7,70,79,10,0.28840579710144926,0.29701492537313434,61.06762833159599,57.43079748594134,rsu_covered_requests_only,670,20,28.775962324917803,32.15149955902563,74.15202245276063,30.557685480077573,26.881335091396174,25.58493537927535,253.5609357619835,88.50287633440176,143.84153884990243,314.1344774814733,121,78,471,690,199,121,78,491,20,471,63.11959805241963,2.0411129208088656,30,19,0.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,690,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,8,80,89,10,0.2958579881656805,0.2962962962962963,57.037487707847696,57.43079748594134,rsu_covered_requests_only,675,1,30.91211310570438,27.78696211875279,68.60346224533507,28.502400526149106,31.970036073544364,32.15141753476944,194.75683290056514,127.03520730783409,78.27036434207903,232.1002047186728,114,86,475,676,200,114,86,476,1,475,109.33785856883728,0.0,31,23,100.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,676,current_service_window_true_requests,9
7,0.20603152448523745,0.2698443205842783,da_elc_model_deepseek_v4_flash,DA-ELC w/ deepseek-v4-flash,deepseek-v4-flash,llm_tool_agent (deepseek-v4-flash),50,50,50,9,90,99,10,0.33768115942028987,0.3396501457725947,53.76279462691185,57.43079748594134,rsu_covered_requests_only,686,4,30.02557347958124,31.063397359408764,65.68104825735321,29.021018175153774,28.36941083868479,34.16267881467365,161.70009697511637,105.62342440216301,128.9077336767344,184.01523479327878,106,127,453,690,233,106,127,457,4,453,273.20429338844804,20.065277733013563,28,35,250.0,fallback: No module named 'cvxpy',heuristic,680,predicted_history_signal,690,current_service_window_true_requests,9
