rsu_cache_capacity,FD-EMC(qwen3.7-flash),FD-EMC(deepseek-v4-flash),Thompson Sampling,CP-SAT,DQN
50,57.11766223174066,57.48395591973552,59.61215581114117,61.56740161019732,59.80330828085527
100,53.11649720723907,52.77519542213293,56.637707008486814,57.16032630958068,56.51964323734688
150,48.50852424405432,49.098636194472235,54.24771586503237,54.34501178979687,52.55291763579777
200,45.93429974055492,46.28155279285354,52.067271751752145,50.5659450563488,49.867234775097295
250,43.80611520836372,44.017143468306955,49.165524638816116,47.96553533305178,48.082553423514234
300,41.794871664942306,42.33842217678932,46.59615098660574,46.04766571179778,45.45120448537332
350,40.37202009218499,40.851197329697264,44.66556687835959,44.1165974902224,44.092682203985895
400,38.7887622915241,39.10616259203621,43.032529639894506,42.40732240941511,43.369963946341244
