rsu_cache_capacity,FD-EMC(qwen3.7-flash),FD-EMC(deepseek-v4-flash),Thompson Sampling,CP-SAT,DQN
50,0.2732592159157402,0.261532806469399,0.22871968147245347,0.1839398018012456,0.21235087955013143
100,0.37716397588017897,0.3803078064157241,0.3014935625429365,0.3053845253851369,0.31522387514591443
150,0.5008742957062366,0.48717948717948717,0.36951884870403023,0.38495637453140774,0.408283783691795
200,0.5673883362590209,0.5507005899705014,0.41813612698648434,0.4759124596036768,0.48557417258080005
250,0.626339372686538,0.612281649558797,0.5052855372047976,0.5400665548625562,0.53479615851128
300,0.6783557373855446,0.6618665694495078,0.5718539852002883,0.5884675980689323,0.5992081398164263
350,0.7163452172218975,0.6962395034684191,0.6244167338332968,0.6394042728799999,0.6404983186574763
400,0.7562828755113968,0.745750319868397,0.6678701717723939,0.6839584236726792,0.6641948896746962
