round,FD-EMC(qwen3.7-flash),FD-EMC(deepseek-v4-flash),Thompson Sampling,CP-SAT,DQN
0,0.4498714652956298,0.4667651403249631,0.21581373525491496,0.45857300577405463,0.4897623688276762
1,0.6064516129032258,0.5359765051395007,0.3922198474941588,0.528731895214118,0.5427817789344146
2,0.5087040618955513,0.5432098765432098,0.33344980972727295,0.4747819825779473,0.4821639589229825
3,0.5093457943925234,0.5245901639344263,0.3166374630452596,0.4770082663928547,0.4797811597614366
4,0.5606060606060606,0.5316804407713499,0.4146356815260364,0.49140145784623845,0.4766924661460749
5,0.6026490066225165,0.5408,0.5138828503907543,0.5010818282823554,0.47535897978201863
6,0.5607287449392713,0.5507462686567164,0.47697911703833656,0.4697650867975714,0.5037867372431521
7,0.5903614457831325,0.58887171561051,0.46999166610266885,0.4736796733746506,0.4752348362855609
8,0.6140888208269525,0.6273684210526316,0.5150189153912749,0.4838474558990728,0.4788368553384064
9,0.6503164556962026,0.6244239631336406,0.5449444856342455,0.4439468991462188,0.48696321376727153
