rsu_cache_capacity,Static mRSU
50,0.24339622641509434
100,0.36242138364779874
150,0.47861635220125787
200,0.5517295597484276
250,0.6069182389937107
300,0.654874213836478
350,0.7001572327044026
400,0.7488993710691824
