method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,local_rsu_achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,latency_request_count_mean,excluded_not_covered_request_count_mean,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,average_service_distance_m_mean,mrsu_average_distance_m_mean,frsu_average_distance_m_mean,mbs_average_distance_m_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,cache_update_count_mean,direct_llm_fallback_count_mean
static_mrsu_llm,Static mRSU,50,50,50,1,42,0.22764574495522943,0.24339622641509434,0.0,0.22764574495522943,0.22764574495522943,61.34332285618553,0.0,6360.0,435.0,30.32699322096057,31.356739544775433,71.18932338400313,29.24183213265706,27.984872280630977,28.9377391419699,234.4165225805065,118.66637190968869,134.9144516441838,269.57288503312014,932.0,616.0,5247.0,435.0,4812.0,10.0,0.0
static_mrsu_llm,Static mRSU,100,100,100,1,42,0.33906093426676864,0.36242138364779874,0.0,0.33906093426676864,0.33906093426676864,56.69572220321057,0.0,6360.0,435.0,30.73317869197206,31.542902347408354,71.28997359555265,28.76766227318673,27.731380432759522,28.879493315210283,219.92834471533817,125.24173721649007,137.72383757284763,271.22731092807106,1485.0,820.0,4490.0,435.0,4055.0,10.0,0.0
static_mrsu_llm,Static mRSU,150,150,150,1,42,0.4478466176920312,0.47861635220125787,0.0,0.4478466176920312,0.4478466176920312,51.81100679909338,0.0,6360.0,435.0,30.59439646992488,31.418119002590252,71.03341856435424,28.8765359851236,27.928403754716356,29.097704884102548,200.16534945522486,122.3933690157528,136.40840092572083,267.23849355829054,2022.0,1022.0,3751.0,435.0,3316.0,10.0,0.0
static_mrsu_llm,Static mRSU,200,200,200,1,42,0.5162839745932425,0.5517295597484276,0.0,0.5162839745932425,0.5162839745932425,48.94600145285502,0.0,6360.0,435.0,30.676885850631976,31.395094314377765,71.13933881878121,28.774982629142546,27.92355854059949,29.032521568447326,191.00732667448509,123.67378630285191,135.67816416710664,268.9969144828068,2349.0,1160.0,3286.0,435.0,2851.0,10.0,0.0
static_mrsu_llm,Static mRSU,250,250,250,1,42,0.5679892031454619,0.6069182389937107,0.0,0.5679892031454619,0.5679892031454619,46.66662127254975,0.0,6360.0,435.0,30.584585958675078,31.485175391899624,71.03618200736128,28.901027714781637,27.831402561975096,29.179949790742562,182.36597423297837,122.36635117635934,137.2308155441454,267.39478647609167,2580.0,1280.0,2935.0,435.0,2500.0,9.0,0.0
static_mrsu_llm,Static mRSU,300,300,300,1,42,0.6128831083001789,0.654874213836478,0.0,0.6128831083001789,0.6128831083001789,44.71092971353214,0.0,6360.0,435.0,30.560286509590927,31.428841505207437,71.01602839483509,28.9247069780496,27.908992265396325,29.162022905854126,175.16495862820943,121.92980262099978,136.5796059662819,266.9746834377238,2786.0,1379.0,2630.0,435.0,2195.0,9.0,0.0
static_mrsu_llm,Static mRSU,350,350,350,1,42,0.6552886490670172,0.7001572327044026,0.0,0.6552886490670172,0.6552886490670172,42.87242813997647,0.0,6360.0,435.0,30.555475229066506,31.42866532479119,70.95172088237186,28.92653780336201,27.890510068742323,29.248502071218105,168.42469867091071,121.71529145638777,136.25803511364924,266.13987697222603,2964.0,1489.0,2342.0,435.0,1907.0,10.0,0.0
static_mrsu_llm,Static mRSU,400,400,400,1,42,0.7009634306714166,0.7488993710691824,0.0,0.7009634306714166,0.7009634306714166,40.914024554375196,0.0,6360.0,435.0,30.528424001269656,31.418902154139573,71.0060649541552,28.967855051956484,27.89721798711508,29.188727546453766,161.65313278445788,121.48389057248184,136.03898220803916,267.0290818117307,3180.0,1583.0,2032.0,435.0,1597.0,9.0,0.0
