method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,cache_update_count_mean,direct_llm_fallback_count_mean
direct_llm,Direct LLM,50,50,50,1,42,0.14359849519763757,0.0,0.14359849519763757,0.14359849519763757,65.77735153023757,0.0,30.931272336113775,31.002732213430317,71.63177289753438,28.455631184692855,28.079565920844715,28.313164767654502,638.0,340.0,5817.0,2142.0,3675.0,0.0,0.0
direct_llm,Direct LLM,100,100,100,1,42,0.19859393113384455,0.0,0.19859393113384455,0.19859393113384455,63.75700605616326,0.0,30.98925825106755,31.145954032757235,71.88210264038119,28.189740535117647,27.865535480203032,28.012869704766754,860.0,492.0,5443.0,2265.0,3178.0,0.0,0.0
direct_llm,Direct LLM,150,150,150,1,42,0.25591815092463854,0.0,0.25591815092463854,0.25591815092463854,61.695821052172064,0.0,30.627836675248318,30.841381787799527,72.3734958368616,28.663780748367675,28.352490878776635,27.514364923832204,964.0,778.0,5053.0,2071.0,2982.0,0.0,0.0
direct_llm,Direct LLM,200,200,200,1,42,0.2879301544123916,0.0,0.2879301544123916,0.2879301544123916,60.36084289543496,0.0,30.84753203979886,30.757751687571524,72.33698065483496,28.568748757437167,28.42420223947488,27.545737301050675,1308.0,652.0,4835.0,2203.0,2632.0,0.0,0.0
direct_llm,Direct LLM,250,250,250,1,42,0.22079876139596277,0.0,0.22079876139596277,0.22079876139596277,63.232631127721,0.0,30.53494412453176,31.159981648650657,72.42224718603556,28.755233085515894,27.88247977296028,27.49140971228113,814.0,687.0,5294.0,2211.0,3083.0,0.0,0.0
direct_llm,Direct LLM,300,300,300,1,42,0.3072803517913601,0.0,0.3072803517913601,0.3072803517913601,59.66374916828439,0.0,31.85692351555583,31.372435471180538,72.14590780745387,27.44101476616793,27.73351610154735,27.8762205403636,1247.0,848.0,4700.0,1976.0,2724.0,0.0,0.0
direct_llm,Direct LLM,350,350,350,1,42,0.12354178678473911,0.0,0.12354178678473911,0.12354178678473911,66.63888793992703,0.0,30.789812590780244,31.567411380483957,71.66128484135228,28.482269432704246,27.476516408330024,28.3064865350618,525.0,316.0,5954.0,2164.0,3790.0,0.0,0.0
direct_llm,Direct LLM,400,400,400,1,42,0.22366568142290424,0.0,0.22366568142290424,0.22366568142290424,62.73816998410616,0.0,30.7996691946318,31.25355929499773,71.91667264464586,28.479294885776614,27.897316216412996,28.082522664964376,965.0,558.0,5272.0,2109.0,3163.0,0.0,0.0
open_loop_llm,Open-loop LLM,50,50,50,1,42,0.12286701397240378,0.0,0.12286701397240378,0.12286701397240378,66.65999179783456,0.0,30.079096948922544,31.01770288141543,71.73434963008796,29.310810448096806,28.163087283390528,28.24997171349907,470.0,366.0,5959.0,1955.0,4004.0,0.0,0.0
open_loop_llm,Open-loop LLM,100,100,100,1,42,0.1395125529380247,0.0,0.1395125529380247,0.1395125529380247,65.98339501218864,0.0,30.62008181436179,30.63095848024232,71.73043326622972,28.645211222290424,28.59572294988296,28.22276174379787,609.0,341.0,5845.0,2078.0,3767.0,0.0,0.0
open_loop_llm,Open-loop LLM,150,150,150,1,42,0.20213296378840995,0.0,0.20213296378840995,0.20213296378840995,63.24011164589277,0.0,28.37457300809463,30.92271722628949,71.80824055409491,31.45376849102406,28.25328633457817,28.151624849497907,786.0,589.0,5420.0,1840.0,3580.0,0.0,0.0
open_loop_llm,Open-loop LLM,200,200,200,1,42,0.10802533251537252,0.0,0.10802533251537252,0.10802533251537252,67.33094464892856,0.0,30.372804398873832,31.045480751178193,71.75765197149775,28.919508548195978,28.159259378850614,28.20069929135466,353.0,380.0,6062.0,2177.0,3885.0,0.0,0.0
open_loop_llm,Open-loop LLM,250,250,250,1,42,0.13434963916248072,0.0,0.13434963916248072,0.13434963916248072,66.40527630182876,0.0,30.95008084509321,32.19225588889538,71.83596063316703,28.343126520271923,26.92854773961977,28.20105274945631,569.0,344.0,5882.0,1962.0,3920.0,0.0,0.0
open_loop_llm,Open-loop LLM,300,300,300,1,42,0.1838076130465139,0.0,0.1838076130465139,0.1838076130465139,64.61328881464776,0.0,30.624191007496115,31.13341907318542,72.21793416145577,28.686517432325914,27.857431436361818,27.65688855174533,705.0,544.0,5546.0,2120.0,3426.0,0.0,0.0
open_loop_llm,Open-loop LLM,350,350,350,1,42,0.3032178716854114,0.0,0.3032178716854114,0.3032178716854114,59.85021898517444,0.0,29.88292777943399,31.292603255294733,72.60142073907755,29.697195326320866,27.91431102030619,27.399347988615386,1069.0,992.0,4734.0,2064.0,2670.0,0.0,0.0
open_loop_llm,Open-loop LLM,400,400,400,1,42,0.20631908729350448,0.0,0.20631908729350448,0.20631908729350448,63.48798691173917,0.0,29.593473556809965,31.3199056830661,72.07950348004489,29.8790977943592,27.860542205159888,27.891520310820958,715.0,687.0,5393.0,1979.0,3414.0,0.0,0.0
static_mrsu,Static mRSU,50,50,50,1,42,0.22764574495522943,0.0,0.22764574495522943,0.22764574495522943,62.362823401746255,0.0,30.32699322096057,31.356739544775433,71.69332490439275,29.24183213265706,27.984872280630977,28.32040284993619,932.0,616.0,5247.0,435.0,4812.0,10.0,0.0
static_mrsu,Static mRSU,100,100,100,1,42,0.33906093426676864,0.0,0.33906093426676864,0.33906093426676864,58.01275126739439,0.0,30.73317869197206,31.542902347408354,71.8691970110226,28.76766227318673,27.731380432759522,28.16371901907211,1485.0,820.0,4490.0,435.0,4055.0,10.0,0.0
