rsu_cache_capacity,Direct LLM,Open-loop LLM,Static mRSU,Static mRSU + LLM
50,65.77735153023757,66.65999179783456,62.362823401746255,63.66726813802186
100,63.75700605616326,65.98339501218864,58.01275126739439,59.88337256499202
150,61.695821052172064,63.24011164589277,53.44074391343034,57.742675659416356
200,60.36084289543496,67.33094464892856,50.759149505472145,55.55658705408284
250,63.232631127721,66.40527630182876,48.591674453670706,60.2513837560282
300,59.66374916828439,64.61328881464776,46.739790073611516,53.934800431597154
350,66.63888793992703,59.85021898517444,45.06701578926809,50.15494952603574
400,62.73816998410616,63.48798691173917,43.37522240365873,55.5285986445528
