rsu_cache_capacity,Direct LLM,Open-loop LLM,Static mRSU,Static mRSU + LLM
50,0.14359849519763757,0.12286701397240378,0.22764574495522943,0.19070820401740027
100,0.19859393113384455,0.1395125529380247,0.33906093426676864,0.28864924535082837
150,0.25591815092463854,0.20213296378840995,0.4478466176920312,0.3405425339837752
200,0.2879301544123916,0.10802533251537252,0.5162839745932425,0.39621103923995893
250,0.22079876139596277,0.13434963916248072,0.5678707451098923,0.2835286377482094
300,0.3072803517913601,0.1838076130465139,0.6136993963420281,0.44024018450045455
350,0.12354178678473911,0.3032178716854114,0.6548096721427785,0.5081272539031728
400,0.22366568142290424,0.20631908729350448,0.6972637429514298,0.3938564414771085
