method,method_label,rsu_cache_capacity,average_delay_ms_mean,average_delay_ms_std
dqn,DQN,50,59.80330828085527,0.2928492803440578
dqn,DQN,100,56.51964323734688,0.8821376153394549
dqn,DQN,150,52.55291763579777,0.20872802899266918
dqn,DQN,200,49.867234775097295,0.9195731516764245
dqn,DQN,250,48.082553423514234,0.859217141089273
dqn,DQN,300,45.45120448537332,0.5595436313678254
dqn,DQN,350,44.092682203985895,0.667589970818861
dqn,DQN,400,43.369963946341244,0.8723485628271949
