method,method_label,rsu_cache_capacity,achr_mean,local_rsu_achr_mean,achr_std
dqn,DQN,50,0.15441168337812097,0.21235087955013143,0.01296921060479444
dqn,DQN,100,0.24245063416664347,0.31522387514591443,0.008478911099663857
dqn,DQN,150,0.2929428385951461,0.408283783691795,0.028444542127578222
dqn,DQN,200,0.3718396711283571,0.48557417258080005,0.014275194611015504
dqn,DQN,250,0.40069628415437464,0.53479615851128,0.009431465056171453
dqn,DQN,300,0.4521669523474521,0.5992081398164263,0.007278935728761062
dqn,DQN,350,0.47086324054939377,0.6404983186574763,0.04279501507353339
dqn,DQN,400,0.51992750769273,0.6641948896746962,0.02675716709131716
