method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,local_rsu_achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,average_service_distance_m_mean,mrsu_average_distance_m_mean,frsu_average_distance_m_mean,mbs_average_distance_m_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,decision_request_source,uses_proposed_miss_feedback,uses_content_level_feedback,uses_predicted_content_demands
dqn,DQN,50,50,50,3,"7,42,2026",0.15441168337812097,0.21235087955013143,0.01296921060479444,0.1409402350859047,0.16681225389408946,59.80330828085527,0.2928492803440578,30.215722364895594,31.272720265730687,67.68541350917657,29.121915778963427,28.015637017772935,33.04714726879438,197.25206592558666,114.83934891992612,132.6934852652389,217.8468452579519,690.0,361.3333333333333,5754.333333333333,1857.0,3897.3333333333335,mobility_and_training_history_only,False,False,False
dqn,DQN,100,100,100,3,"7,42,2026",0.24245063416664347,0.31522387514591443,0.008478911099663857,0.23440240625490966,0.2513029417854235,56.51964323734688,0.8821376153394549,30.308925081890568,31.248245663908246,68.43759776572576,29.081258195748187,28.119604060586585,32.31586577111335,195.4425262436366,116.67551706016498,133.5152004947589,229.17225218588624,1145.6666666666667,505.6666666666667,5154.333333333333,1568.0,3586.3333333333335,mobility_and_training_history_only,False,False,False
dqn,DQN,150,150,150,3,"7,42,2026",0.2929428385951461,0.408283783691795,0.028444542127578222,0.2602960700120331,0.31238605503893024,52.55291763579777,0.20872802899266918,30.383208765458537,30.895777328749077,67.71094668769706,29.036296816291436,28.548407978012165,33.083708436582704,179.12720461473987,118.78686605549217,128.37699159646073,218.2209643483013,1273.0,721.3333333333334,4811.333333333333,1921.3333333333333,2890.0,mobility_and_training_history_only,False,False,False
dqn,DQN,200,200,200,3,"7,42,2026",0.3718396711283571,0.48557417258080005,0.014275194611015504,0.3591089014960521,0.3872729559003567,49.867234775097295,0.9195731516764245,29.727732110564762,31.352722650613135,68.38819377041739,29.74494480151884,28.017161359313945,32.38541351341848,174.17343887232482,107.84580365149043,135.38148267192162,228.43599665682765,1717.3333333333333,815.0,4273.333333333333,1590.3333333333333,2683.0,mobility_and_training_history_only,False,False,False
dqn,DQN,250,250,250,3,"7,42,2026",0.40069628415437464,0.53479615851128,0.009431465056171453,0.3940906760943741,0.4114975540090636,48.082553423514234,0.859217141089273,30.27537378283299,31.35596271102504,68.11232842905913,29.198082339957192,27.999729700590752,32.71118684985772,170.6597869785322,117.64730964550427,135.23645123531264,224.44411169513344,1791.0,937.6666666666666,4077.0,1703.0,2374.0,mobility_and_training_history_only,False,False,False
dqn,DQN,300,300,300,3,"7,42,2026",0.4521669523474521,0.5992081398164263,0.007278935728761062,0.44383407527925084,0.45728485037523503,45.45120448537332,0.5595436313678254,29.698809170752558,31.305681892580633,68.26845106325736,29.830372900875005,28.09883751976925,32.41017174197373,160.3645374855066,107.81661941260263,135.07324422587135,226.57711421641298,2187.3333333333335,892.3333333333334,3726.0,1665.3333333333333,2060.6666666666665,mobility_and_training_history_only,False,False,False
dqn,DQN,350,350,350,3,"7,42,2026",0.47086324054939377,0.6404983186574763,0.04279501507353339,0.43064327686957043,0.5158364322854395,44.092682203985895,0.667589970818861,30.162096908291332,31.341943330818122,68.1828506757924,29.271130553147923,28.05374320690616,32.68528659085228,159.2629478746368,114.75391001853268,135.89288179399952,225.48239860894645,2129.3333333333335,1077.3333333333333,3599.0,1802.3333333333333,1796.6666666666667,mobility_and_training_history_only,False,False,False
dqn,DQN,400,400,400,3,"7,42,2026",0.51992750769273,0.6641948896746962,0.02675716709131716,0.49120331150683094,0.5441453861128861,43.369963946341244,0.8723485628271949,30.271990907642685,31.056020717717672,68.76754488151458,29.142912303919285,28.287118601147537,31.927034437147338,158.99812612574485,116.95598389051138,129.3085915239481,234.18699517807372,2428.6666666666665,1112.3333333333333,3264.6666666666665,1476.6666666666667,1788.0,mobility_and_training_history_only,False,False,False
