rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,method,method_label,achr,local_rsu_achr,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_request_count,frsu_request_count,mbs_request_count,cache_update_count,fallback_to_topk_count
50,50,50,tool_agent,DA-ELC,0.20561174916579658,0.2732592159157402,822,579,5407,1681,3726,57.11766223174066,rsu_covered_requests_only,5127,1681,29.01328355177615,30.782755177794066,67.41012343924626,30.63550917228695,28.94762298031948,34.30981072711154,186.90225139527863,97.49321885733693,130.06815906091057,215.45865617460964,822,579,3726,9,
100,100,100,tool_agent,DA-ELC,0.28454984285006163,0.37716397588017897,1273,666,4869,1667,3202,53.11649720723907,rsu_covered_requests_only,5141,1667,29.12752924426856,30.679555045652823,67.3204196608549,30.452808126594128,29.069499087249646,34.43266351910089,174.40120725414798,98.27585213515405,128.83328515911947,214.14380974689257,1273,666,3202,10,
150,150,150,tool_agent,DA-ELC,0.37828981673196155,0.5008742957062366,1768,810,4230,1661,2569,48.50852424405432,rsu_covered_requests_only,5147,1661,29.12055549847665,30.578435439622428,67.5047487180797,30.567773344401164,29.28518308504644,34.156814611295516,162.4897207844838,99.18824395287925,128.45318051365612,216.78579266367694,1768,810,2569,10,
200,200,200,tool_agent,DA-ELC,0.42686048378783975,0.5673883362590209,2029,880,3899,1681,2218,45.93429974055492,rsu_covered_requests_only,5127,1681,29.069185018206625,30.60659497211218,67.44363155654877,30.619955772412467,29.233303393053376,34.26666934671825,154.42622260530493,98.34833472382026,128.62419213789576,215.9626614343637,2029,880,2218,9,
250,250,250,tool_agent,DA-ELC,0.4718066257735745,0.626339372686538,2237,978,3593,1675,1918,43.80611520836372,rsu_covered_requests_only,5133,1675,29.200700335220088,30.72203945278377,67.5123400051205,30.340236711561463,29.089252063525894,34.18027722248084,149.32743011390747,99.56018533784714,130.45266518660944,216.99627613212667,2237,978,1918,10,
300,300,300,tool_agent,DA-ELC,0.5110077234895762,0.6783557373855446,2357,1125,3326,1675,1651,41.794871664942306,rsu_covered_requests_only,5133,1675,29.011659437357388,30.79937825658622,67.53682278839372,30.55871017398127,28.969760741640165,34.181354104380915,143.04984186886318,96.62260884170485,131.00982373763867,217.53440191891764,2357,1125,1651,9,
350,350,350,tool_agent,DA-ELC,0.5396553650427244,0.7163452172218975,2479,1198,3131,1675,1456,40.37202009218499,rsu_covered_requests_only,5133,1675,29.040562115387235,30.76736620983252,67.5678028363745,30.534889167501447,29.065972380025702,33.99120568021978,139.35056010667833,97.19926794146414,131.38534348978155,217.67156476643672,2479,1198,1456,10,
400,400,400,tool_agent,DA-ELC,0.5697213655157429,0.7562828755113968,2614,1268,2926,1675,1251,38.7887622915241,rsu_covered_requests_only,5133,1675,28.99891125958891,30.881325728066486,67.25982556885651,30.57470414505797,28.958313449594332,34.56974601224049,134.08864416771513,96.39381542795051,133.51030168635663,213.43926014861623,2614,1268,1251,9,
